text_code,sent
"[   0   66   77   27    0    0 1585  130 4085 1302  327 2679    5    0
    0   87  255    0 3398    0  151    0   64    0    0   17]",positive
"[   2    0    0    0    0    0  231    4    7    0    0  216    5 3383
    0    1 3380 2358    0   19    0    0    0    0   19  307    1  284
   35    0]",positive
"[   1   87  340    0  439   29    1 1332  216  150  261   14    0    0
    0   22    0    0    0 2353    0   88   12    0    0   26    0    0
    0   69    0 1137    0 2023]",neutral
"[    0     0     0    48     0   161  3196    94     0    68     0    54
    19    37     0   511    94     0    14 10089    43     0     1    43
  1079   647     0]",positive
"[   64 10067     8   188     0 10018     0     0    10    79     0     0
   801    29     1   890    41     0    26     0 10017  3256     0     0
     0    26     0     0  1715     0     0     0     3]",positive
"[3203    0    0    0 9949    1  208    0   64   41    0    0    4    3
    3]",positive
[  17 1799    0    0   22    0   28    0    0   16   68  194],positive
[   0    0  150    0    0   43 1079    0   47    0 1103   37 9952    6],positive
"[  2  16   0   1 795   0   0 284   0   0   0 504 262   0 193   0  68   0
   2   3]",positive
"[ 722  130    4  342    0   63   42  771    7    1  151 9959    0    4
  274    0    1    0    0  216   16   68    0  274    0    0    0    3]",positive
[   0  228   22    0    0    0    0 1187  795   84   90    0],positive
[274   0  28   0   0   2   0   1  12 213   0   0   6   3],positive
"[1302    0  254    0  809  512    0   21    0    8    0   21  280  356
    0    0   11    6    3]",positive
"[   0    0   99  376    0    1  490   97    0    9    0    9   21    0
 2339   35    0    0    0]",neutral
"[  16   31    0  221   42  105   18  260   10   79 1666 4607    0 3685
    0 1600 2441    5    0    0    0 9942  809    0    0    0    0    3]",positive
"[3766 9923 3745   48    0  303  646  274    7    1    0    0  216    0
 1187  795    0 2395   88   12    0    0    0    0    3]",positive
"[   0 3492    0    1  208   94    0    0  193  530   15    0    0  150
    0   93 1764  786 1654    0   96  207    0  133    0    1  208   94
    0    9   21    0    0    0    0]",positive
"[  89    0    0 1070   74    0    1   59  845   29    1  426    0 1009
    0 3513    5  326  438 2393    0    0    0    7    0    0    0    0
    0  194    0    0]",positive
"[ 9970    10     0  9996  9998     7   848     0 10003    10     2     5
     0  9995   150     0     0     0    11     5     0   326   260     0
     6]",positive
[  0 228 554  22   0 447   0  22   0  28   0   0   0  90   0],positive
"[   0    0  393  875    5    0    0   86    0    0  272 1073    0   16
    0   82    8 1738    0    0   47   41    0]",positive
[  0 161 319   0  20  22   0  28   0   0  16  90   0   0   0],positive
[  2  25   8  37   0  76 426   7   0   0   0 231  12   0   0   0],positive
"[    0     0     0  2339    35 10012     0 10013   761     0   247     0
     0     0     5     0    58     8     0     0    89     0     0   410
    35     7     1  3564     0     0     0     3]",positive
"[10014   296   418     0     0     0     0    90    41    10   145  3065
     0  2417  3065     5  9971  9974     0     0    65   554     0    22
     0     0     0]",positive
[  2   1  59 237   0  13   0 786 746   0   0   0],neutral
"[ 884 1800   14    1    0    0  216    0   11  507    0   25    0  192
    0   28  211  193    0   15    0   61    0   58    0    0    0  283]",negative
"[ 293  248  692    0    0  411   57    0    0    0    0  216   11    5
   80    0 1112 2349    0   68    7    1 9978 2335    0   53    0    0
    6]",positive
"[   0    0   11    0 1187  795    0  279    0   22    0    0  889    0
    1  511   18    0   12  302    0    6    0    0    0    0    0    0]",positive
"[   2  319    8  261    0 2360    0    0  104   13  451    8    0 1624
 1074 3785 3654    0  197    0 2353    7    0    0   11   41    0    0
    0    0]",positive
[ 87 457   0 256   7  11   0   1   0   0 216],positive
[   0 2923    0 7874    0    0   22    0   28    0    0    0  216   11],negative
"[ 235    0   28    0    0    0 7855 3211  150    0    0   11   41 1071
 1965   80   68    4    4    0    0    0 7860  312  114    6]",positive
[  0   0  22   0   1   0   0 216  11   0],positive
"[   0    0   11   10    2 7861    0 1496    0   22    0  283    1   84
   18 1470]",positive
[279 102  28   0   0  10   0  68],positive
[   0    0   10  450   11   41    0 2353  809  390    0 1103    0],positive
"[   2 1242    0    0  150    0 1187  795   96    0    0 1920   68    0
 1112 2349    0    0    0]",positive
"[  0  25   0 305   8  82 200   0   0 296 418   0   0   0 216  10   0 721
   0 318   0   0   0   0   0   0   0  25   0 829   0]",positive
"[   0   22    0   28    0    0   10    0  572  596   41    5    0   87
   66 4043    0   45    0  803  907 3305    0  261 2974 1326    0   20
   93  333]",positive
"[ 235    0   37 1594   16 1455   90   10    0    0    0    0    0    0
    0    0    0 7901 7930    6    0    6    3    6    6]",positive
"[ 403    0    0  351   10  327 2012   14    0   61    0  555    0    0
   22    0   28    0    0   11]",negative
"[   2   44    0   42  906    5 2414 1340    7    1    0    0  216   11
   41    0]",neutral
"[   0    0    0    0 2407   11    5    0   25    0  334    0    0  155
  356    0]",negative
[  0 280   0  28   0   0   0 386   0   1  12   0],positive
"[   0  329 3326   27   32    0    1 3096   20 1589    0    0    0    0
   47   15    0   69   21  407    0]",negative
"[   2  300    7 1458   16 1075 1991    0    0    0    0    8    9   58
    0  307   35   16 7924    0   32    0    0  202    0    3]",positive
"[  32    0   16  428  614 3336  730  407  443    1   71    0 1466    0
  814    0    0 3075 7917    0]",positive
"[  32    0  330    0    0    4 1241    0    0   32  717    0  330    0
    0    4 1241   10    0    4 2443    0   88    4    0    4    3  393
  537    0    0    0]",positive
"[   0  863    0    0    0 1628 1773  514    0  347  208    4 7782   10
   32    0  467  188    4    4    0    0  950 3053    4    0    3    0
    0    2]",negative
"[   0    0   17 7789   16  323    7  458    0   32    0   16    0    1
   59 1068    0 2336    0    0    0 7776    0    4  546    0    0    0
    3]",positive
"[   9   23    1 1172 1777    7  563    0   42   32 3395 7775    0  723
    6]",negative
"[  39   35    7   16    7   32    0    9    0 7754    0    0    4 1241
    1 7758    3]",positive
"[   2    1 3015    9    0 1170    0    0  591    0 7829    0   32 1792
  275  218  526  618 7837    0    0    8   13    0  843    0    0    0]",neutral
"[ 225    0    1 7828 1426    0  214  232   31    0    0  812    0   29
  598   10   85    5    1 7842   29   32    3]",positive
"[   2    2  304   42  604    0   17 1165    8   79 7843  230   32   14
  178    0 2908   68    0  314    0   42   75  233    0    0]",positive
"[  35  331    4    0   32    0    0   26    0    0    0    0  300    7
    1 2426    0    2    6    3]",positive
"[ 358    0    1  224    0    1  613 3226   19    0    0   32 7811    0
  247   12    0]",positive
"[7815    1 7816 1598    0    0    4  214 1193    0 3080 7817    0   32
    0   88    4 7819    0    3]",positive
"[ 347    0 1602    4 1161    0    0    4    0   73  298  205    0    0
   31    0   32  774    1  723    0    1 1602    4  963    1 1456    0
    0    0    0    3]",positive
"[   0    2 7820    0    1   12 3095 1422 3109 3305  323    0    0  151
    0   32    0    6    3    3]",neutral
"[1427  756 7947    0   42  966  229    0  577  232    1 3673 2955    0
    0    0 8076 3641    0  266    0   32    0    0    0    3    6]",neutral
"[  75  244    0    2   19    0 1641    0    0    1    0    0 8079    0
 2902    5   32   29  602   40    0 1797  970   24    0    0   23  443
    0   36  620    0 8083]",positive
[   0    0    0 2406    0   40    0   17  451   79  628    0   32],neutral
"[ 276 1110    9    0 1013    1   60    0   32 1465    0    0 1013  551
    0   32   49   19  518 1843  214 2404  618    0]",positive
"[  32    9 3028    0    4 2443    0    0    4 1241    0    0  325    1
  723    0  206 1201 1227 8072 1261    0    7    1  411  187]",positive
"[   0  224    0  564  444 2422 2419 1101   29   32  278    0   37   74
  232    1   12    0  178   13   17  489    0    1  701    0    3]",negative
"[   2  737    7   32   49    0   40   18    0 1473 1097    0 1188   82
  209   42  614 8055   16    0    0  805    0    0   19    0   74   11
    0]",negative
"[   2  358    0  277    8    0  479    0  730   32 1556 1100    8    9
  186    0    0    0   74    0    0    0    0    0]",positive
"[  45   34 1444  527    0 8058   11    0    0   19 1050  133 3807 8060
    0   32    0 8061    0  899    0   34   48    4    0    0 2445    0
 8062]",positive
"[ 367    0 3795 2979    0 8095    0    0 8126    0    0   37    0    0
   50  193    0   32    0  265 8123    0    0    3]",positive
[  2   0 444   0  29  32   0 178  13   0   0  31   0],positive
"[   2    0  350    0  933    0 8135  103    0 1818    5 2378  231    4
    5    0  431   10    0   32 8137   45   19    0 2938   16    0    0]",neutral
"[1827    0 2431    4    0    0   32    5  307   35    1  242   11    0
    6    6    6    3]",positive
"[   2    2    2    0   17  444 1288 8099   29   32    0   54    0    0
    0    0 8100   11  114    0]",positive
"[8107    0  388  491   77  556  130    0  178   13   57 2449    0  202
  750    1 8097   32  399 8048  102  232   31    0    1  273  477]",neutral
"[  36  330   88   12  275    0    1 8046    0 7976   85 7979    0 7981
 7984  407    0   32    0    3]",neutral
"[  32    9 1032    0    4 1241   10    4 2443  687  549    1  411  187
    3]",neutral
"[   0    0    2    0   62    8    0  163    0  783   32    0 3532   10
 7990 3593 1699    5 7992    0    0   59  257 1077 7962   48   86    0
    0    0    1 1708    0]",positive
"[ 444    0   76 1729   80    0   32    4  760  744    5    0 1000   35
   54  354    0 2420    5  283  471   11    6]",negative
[8028  906    0    1   32  514   68    0],neutral
"[  32    9    0 3168    0    0    0    4 1241    1 1008 1437    0 3161
  351    0   36  633 2899    7    1    0    0    0    3]",positive
"[   0   58   16    0    5  367    0    0    0  272    0   32  707    0
  655    7  364   11    0  133    0  529    0 8032    0    3]",positive
"[   6    1   59  323    0    1 3561    0 8025  379   48   99  502    0
   32 1301   37    0   74    3    6]",positive
"[   2   20   22    0   15   96   52  127    0    0  702 8035    0    0
    0  327   28    0   32   69   48    1 3571    0    0    0 3575   11
    0]",neutral
"[ 228  498    2   21  245    0    0    4    0  246    7   84   18    0
  605    0    0   62   32    9   13   77  663    0  393    0   13 1801
  324    0]",neutral
